Wallet,Unique_Count,Tie_Count,Total_Count,Unique_Percentage,Tie_Percentage,Total_Percentage
-1,23779,285,24064,21.53%,3.63%,20.34%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),22319,58,22377,20.21%,0.74%,18.92%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),22319,58,22377,20.21%,0.74%,18.92%
(1) OR (2) OR (3) OR (4),4299,1,4300,3.89%,0.01%,3.64%
(1 AND 2 AND 3 AND 4),4299,1,4300,3.89%,0.01%,3.64%
(1) OR (2),3379,123,3502,3.06%,1.57%,2.96%
(1 AND 2),3379,123,3502,3.06%,1.57%,2.96%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),2852,54,2906,2.58%,0.69%,2.46%
(1 AND 2) OR (3 AND 4),2852,54,2906,2.58%,0.69%,2.46%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),2592,5,2597,2.35%,0.06%,2.20%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),2592,5,2597,2.35%,0.06%,2.20%
(1) OR (2) OR (3 AND 4),2145,6,2151,1.94%,0.08%,1.82%
(1 AND 2 AND 3) OR (1 AND 2 AND 4),2145,6,2151,1.94%,0.08%,1.82%
(1) OR (2) OR (3),1959,3,1962,1.77%,0.04%,1.66%
(1 AND 2 AND 3),1959,3,1962,1.77%,0.04%,1.66%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),1343,60,1403,1.22%,0.76%,1.19%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),1343,60,1403,1.22%,0.76%,1.19%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),872,53,925,0.79%,0.68%,0.78%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),872,53,925,0.79%,0.68%,0.78%
(1 AND 2) OR (1 AND 3) OR (2 AND 4),786,55,841,0.71%,0.70%,0.71%
(1) OR (2 AND 3),640,11,651,0.58%,0.14%,0.55%
(1 AND 2) OR (1 AND 3),640,11,651,0.58%,0.14%,0.55%
(1) OR (2 AND 3) OR (2 AND 4),395,6,401,0.36%,0.08%,0.34%
(1 AND 2) OR (1 AND 3 AND 4),395,6,401,0.36%,0.08%,0.34%
(1) OR (2 AND 3 AND 4),141,1,142,0.13%,0.01%,0.12%
(1 AND 2) OR (1 AND 3) OR (1 AND 4),141,1,142,0.13%,0.01%,0.12%
(1 AND 2) OR (1 AND 3) OR (2 AND 3),0,7545,7545,0.00%,96.13%,6.38%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0,7545,7545,0.00%,96.13%,6.38%
