Scenario,Rank,Wallet,Success_Probability
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",8,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.530500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",9,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.529500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",10,(1 AND 2) OR (1 AND 3),0.525000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",11,(1 AND 2) OR (1 AND 3 AND 4),0.516500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",12,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.514500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",13,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.504000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",14,(1) OR (2 AND 3 AND 4),0.501500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",15,(1),0.500000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",16,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.497000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",17,(1) OR (2 AND 3),0.465000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",18,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.459500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",19,(1 AND 2),0.450000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",20,(1) OR (2 AND 3) OR (2 AND 4),0.424500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",21,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.423500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",22,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.380000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",23,(1) OR (2),0.350000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",24,(1 AND 2 AND 3),0.335000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",25,(1) OR (2) OR (3 AND 4),0.298500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",26,(1 AND 2 AND 3 AND 4),0.238500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",27,(1) OR (2) OR (3),0.215000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",28,(1) OR (2) OR (3) OR (4),0.129500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",1,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.681500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",2,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.654000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",3,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.625000
