Wallet,Unique_Count,Tie_Count,Total_Count,Unique_Percentage,Tie_Percentage,Total_Percentage
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),1045,5,1050,24.30%,1.14%,22.15%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),1045,5,1050,24.30%,1.14%,22.15%
-1,901,17,918,20.95%,3.87%,19.37%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),114,0,114,2.65%,0.00%,2.41%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),114,0,114,2.65%,0.00%,2.41%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),89,3,92,2.07%,0.68%,1.94%
(1 AND 2) OR (3 AND 4),89,3,92,2.07%,0.68%,1.94%
(1) OR (2) OR (3 AND 4),78,0,78,1.81%,0.00%,1.65%
(1 AND 2 AND 3) OR (1 AND 2 AND 4),78,0,78,1.81%,0.00%,1.65%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),76,6,82,1.77%,1.37%,1.73%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),76,6,82,1.77%,1.37%,1.73%
(1) OR (2) OR (3) OR (4),76,0,76,1.77%,0.00%,1.60%
(1 AND 2 AND 3 AND 4),76,0,76,1.77%,0.00%,1.60%
(1) OR (2),58,7,65,1.35%,1.59%,1.37%
(1 AND 2),58,7,65,1.35%,1.59%,1.37%
(1 AND 2) OR (1 AND 3) OR (2 AND 4),54,1,55,1.26%,0.23%,1.16%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),53,3,56,1.23%,0.68%,1.18%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),53,3,56,1.23%,0.68%,1.18%
(1) OR (2) OR (3),47,0,47,1.09%,0.00%,0.99%
(1 AND 2 AND 3),47,0,47,1.09%,0.00%,0.99%
(1) OR (2 AND 3),19,4,23,0.44%,0.91%,0.49%
(1 AND 2) OR (1 AND 3),19,4,23,0.44%,0.91%,0.49%
(1) OR (2 AND 3 AND 4),10,0,10,0.23%,0.00%,0.21%
(1 AND 2) OR (1 AND 3) OR (1 AND 4),10,0,10,0.23%,0.00%,0.21%
(1) OR (2 AND 3) OR (2 AND 4),8,2,10,0.19%,0.46%,0.21%
(1 AND 2) OR (1 AND 3 AND 4),8,2,10,0.19%,0.46%,0.21%
(1 AND 2) OR (1 AND 3) OR (2 AND 3),0,405,405,0.00%,92.26%,8.54%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0,405,405,0.00%,92.26%,8.54%
