Wallet,SAFE,LOST,LEAKED,STOLEN
(1 AND 2 AND 3),0.3,0.05,0.55,0.1
(1 AND 2),0.3,0.05,0.4,0.25
(1 AND 2) OR (1 AND 3),0.3,0.05,0.35,0.3
(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.3,0.2,0.25,0.25
(1),0.3,0.05,0.25,0.4
(1) OR (2 AND 3),0.3,0.3,0.15,0.25
(1) OR (2),0.3,0.4,0.05,0.25
(1) OR (2) OR (3),0.3,0.55,0.05,0.1
