From_keyCount,To_keyCount,From_wallet,To_wallet,Transition_count,From_total,Transition_fraction,Is_unique
3,4,(1),(1),271,369,0.734417,True
3,4,(1),(1) OR (2),0,369,0.000000,False
3,4,(1),(1) OR (2) OR (3),0,369,0.000000,False
3,4,(1),(1) OR (2) OR (3) OR (4),0,369,0.000000,False
3,4,(1),(1) OR (2) OR (3 AND 4),0,369,0.000000,False
3,4,(1),(1) OR (2 AND 3),0,369,0.000000,False
3,4,(1),(1) OR (2 AND 3) OR (2 AND 4),0,369,0.000000,False
3,4,(1),(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0,369,0.000000,False
3,4,(1),(1) OR (2 AND 3 AND 4),6,369,0.016260,True
3,4,(1),(1 AND 2),0,369,0.000000,False
3,4,(1),(1 AND 2) OR (1 AND 3),0,369,0.000000,False
3,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3),8,369,0.021680,False
3,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),3,369,0.008130,True
3,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),6,369,0.016260,True
3,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),26,369,0.070461,True
3,4,(1),(1 AND 2) OR (1 AND 3) OR (1 AND 4),6,369,0.016260,True
3,4,(1),(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),8,369,0.021680,False
3,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 4),0,369,0.000000,False
3,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0,369,0.000000,False
3,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),3,369,0.008130,True
3,4,(1),(1 AND 2) OR (3 AND 4),0,369,0.000000,False
3,4,(1),(1 AND 2) OR (1 AND 3 AND 4),0,369,0.000000,False
3,4,(1),(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),6,369,0.016260,True
3,4,(1),(1 AND 2 AND 3),0,369,0.000000,False
3,4,(1),(1 AND 2 AND 3) OR (1 AND 2 AND 4),0,369,0.000000,False
