From_keyCount,To_keyCount,From_wallet,To_wallet,Transition_count,From_total,Transition_fraction,Is_unique
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3) OR (2 AND 3),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3) OR (1 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3) OR (2 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2) OR (3 AND 4),12,2327,0.005157,False
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3 AND 4),2,2327,0.000859,True
2,4,(1 AND 2),(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),9,2327,0.003868,False
2,4,(1 AND 2),(1 AND 2 AND 3),94,2327,0.040395,True
2,4,(1 AND 2),(1 AND 2 AND 3) OR (1 AND 2 AND 4),159,2327,0.068328,True
2,4,(1 AND 2),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),214,2327,0.091964,True
2,4,(1 AND 2),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),1657,2327,0.712076,True
2,4,(1 AND 2),(1 AND 2 AND 3 AND 4),165,2327,0.070907,True
