From_keyCount,To_keyCount,From_wallet,To_wallet,Transition_count,From_total,Transition_fraction,Is_unique
2,4,(1),(1),271,4046,0.066980,True
2,4,(1),(1) OR (2),0,4046,0.000000,False
2,4,(1),(1) OR (2) OR (3),0,4046,0.000000,False
2,4,(1),(1) OR (2) OR (3) OR (4),0,4046,0.000000,False
2,4,(1),(1) OR (2) OR (3 AND 4),0,4046,0.000000,False
2,4,(1),(1) OR (2 AND 3),0,4046,0.000000,False
2,4,(1),(1) OR (2 AND 3) OR (2 AND 4),0,4046,0.000000,False
2,4,(1),(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0,4046,0.000000,False
2,4,(1),(1) OR (2 AND 3 AND 4),8,4046,0.001977,True
2,4,(1),(1 AND 2),0,4046,0.000000,False
2,4,(1),(1 AND 2) OR (1 AND 3),0,4046,0.000000,False
2,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3),810,4046,0.200198,False
2,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),110,4046,0.027187,True
2,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),156,4046,0.038557,True
2,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),594,4046,0.146812,True
2,4,(1),(1 AND 2) OR (1 AND 3) OR (1 AND 4),8,4046,0.001977,True
2,4,(1),(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),810,4046,0.200198,False
2,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 4),89,4046,0.021997,True
2,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),165,4046,0.040781,True
2,4,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),110,4046,0.027187,True
2,4,(1),(1 AND 2) OR (3 AND 4),165,4046,0.040781,True
2,4,(1),(1 AND 2) OR (1 AND 3 AND 4),0,4046,0.000000,False
2,4,(1),(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),156,4046,0.038557,True
2,4,(1),(1 AND 2 AND 3),0,4046,0.000000,False
2,4,(1),(1 AND 2 AND 3) OR (1 AND 2 AND 4),0,4046,0.000000,False
2,4,(1),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0,4046,0.000000,False
2,4,(1),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),594,4046,0.146812,True
2,4,(1),(1 AND 2 AND 3 AND 4),0,4046,0.000000,False
2,4,(1) OR (2),(1),0,2327,0.000000,False
2,4,(1) OR (2),(1) OR (2),15,2327,0.006446,True
2,4,(1) OR (2),(1) OR (2) OR (3),94,2327,0.040395,True
2,4,(1) OR (2),(1) OR (2) OR (3) OR (4),165,2327,0.070907,True
2,4,(1) OR (2),(1) OR (2) OR (3 AND 4),159,2327,0.068328,True
2,4,(1) OR (2),(1) OR (2 AND 3),0,2327,0.000000,False
2,4,(1) OR (2),(1) OR (2 AND 3) OR (2 AND 4),2,2327,0.000859,True
2,4,(1) OR (2),(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),214,2327,0.091964,True
2,4,(1) OR (2),(1) OR (2 AND 3 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3) OR (2 AND 3),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),9,2327,0.003868,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),1657,2327,0.712076,True
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3) OR (1 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3) OR (2 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),12,2327,0.005157,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2) OR (3 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2 AND 3),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2 AND 3) OR (1 AND 2 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0,2327,0.000000,False
2,4,(1) OR (2),(1 AND 2 AND 3 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1),0,2327,0.000000,False
2,4,(1 AND 2),(1) OR (2),0,2327,0.000000,False
2,4,(1 AND 2),(1) OR (2) OR (3),0,2327,0.000000,False
2,4,(1 AND 2),(1) OR (2) OR (3) OR (4),0,2327,0.000000,False
2,4,(1 AND 2),(1) OR (2) OR (3 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1) OR (2 AND 3),0,2327,0.000000,False
2,4,(1 AND 2),(1) OR (2 AND 3) OR (2 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1) OR (2 AND 3 AND 4),0,2327,0.000000,False
2,4,(1 AND 2),(1 AND 2),15,2327,0.006446,True
