Wallet,Optimal_Count,Percentage
(1 AND 2) OR (1 AND 3) OR (2 AND 3),17889,76.36%
(1) OR (2 AND 3),1135,4.85%
(1 AND 2) OR (1 AND 3),1134,4.84%
(1) OR (2) OR (3),1090,4.65%
(1 AND 2 AND 3),1090,4.65%
(1) OR (2),528,2.25%
(1 AND 2),528,2.25%
(1),32,0.14%
